[ RUN      ] BootstrapTest.FileSharing
[2025-01-28 21:46:31.902479] [0x00007f88cde61d80] [debug]   Successfully generated initialization vector
[2025-01-28 21:46:31.902496] [0x00007f88cde61d80] [info]    Retrieving data for key: test.txt
[2025-01-28 21:46:31.902506] [0x00007f88cde61d80] [debug]   Generating hash for key: test.txt
[2025-01-28 21:46:31.902515] [0x00007f88cde61d80] [debug]   Generated hash: a6ed0c785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
[2025-01-28 21:46:31.902530] [0x00007f88cde61d80] [debug]   Calculated path: fileserver_1/a6/ed/0c/785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
[2025-01-28 21:46:31.902559] [0x00007f88cde61d80] [info]    Successfully streamed 17 bytes for key: test.txt
[2025-01-28 21:46:31.902573] [0x00007f88cde61d80] [info]    Initializing CryptoStream
[2025-01-28 21:46:31.902581] [0x00007f88cde61d80] [debug]   CryptoStream initialization complete
[2025-01-28 21:46:31.902585] [0x00007f88cde61d80] [info]    Initializing CryptoStream
[2025-01-28 21:46:31.902592] [0x00007f88cde61d80] [debug]   CryptoStream initialization complete
[2025-01-28 21:46:31.902595] [0x00007f88cde61d80] [info]    Initializing crypto parameters
[2025-01-28 21:46:31.902602] [0x00007f88cde61d80] [debug]   Crypto parameters initialized successfully
[2025-01-28 21:46:31.902605] [0x00007f88cde61d80] [info]    Initializing crypto parameters
[2025-01-28 21:46:31.902612] [0x00007f88cde61d80] [debug]   Crypto parameters initialized successfully
[2025-01-28 21:46:31.902615] [0x00007f88cde61d80] [info]    Starting message frame serialization
[2025-01-28 21:46:31.902618] [0x00007f88cde61d80] [debug]   Writing IV of size: 16
[2025-01-28 21:46:31.902625] [0x00007f88cde61d80] [debug]   Writing message type: 0
[2025-01-28 21:46:31.902628] [0x00007f88cde61d80] [debug]   Writing source id: 1
[2025-01-28 21:46:31.902634] [0x00007f88cde61d80] [debug]   Writing payload size: 17
